Chamber ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,sampleID,assayID,assay,sample
S012-A02,0.18496131528046422,0.20884096147513995,0.2126831691365179,0.2181592039800995,0.21897082051708372,0.21959319219593193,0.21979670054990835,0.22168594491137555,0.22153537716147356,0.22345575959933223,0.22170166485401155,0.22239853014865543,0.22182304286072355,0.22289156626506024,0.22211996988203797,0.2242190124286194,0.22447441159226067,0.22279226240538266,0.22344260920600317,0.22288649376894576,0.22379912663755458,0.22363651690128972,0.2239858906525573,0.22399527186761228,0.22397104620823163,0.22312236286919832,0.22366425080060678,0.22313212325875897,0.22489212285303326,0.22433139289631318,0.2240576027107158,0.22496199966221922,0.22400203407068395,0.22375316990701605,0.2237276653399949,0.22454506982649175,0.22334379506319452,S012,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837150_N8KEBMZL
S011-A02,0.14391488749910142,0.16488112709128266,0.17019862659676585,0.17532467532467533,0.17721050684424713,0.18030605455755155,0.180280436234142,0.18166346011543585,0.18241888781646745,0.1835072914353394,0.18402081010776664,0.18472046922562924,0.18338406711708366,0.1849676603969965,0.18352032097481238,0.1860916281152067,0.1866488055369502,0.18500559492726595,0.18606209515300423,0.18524602404241022,0.18655049151027703,0.18529850746268656,0.18666169895678092,0.18552543132422136,0.1866328509622557,0.18548447437336327,0.1868377854051634,0.18542848611525828,0.18813584679832435,0.18727598566308243,0.18647617622858853,0.18758394269512013,0.18713494084169538,0.18709870091085562,0.18733153638814015,0.18859747440783084,0.18686339125224685,S011,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837142_N8KEBMYH
S010-A02,0.036922442244224425,0.041987943361839336,0.044229683972911965,0.04628519015028575,0.047353169835324053,0.04882178636940877,0.04950074357340132,0.04985855728429986,0.05131112686038271,0.0511660777385159,0.05213068181818182,0.05211357360334207,0.05199490662139219,0.05295618885580604,0.053120567375886524,0.054071337217564304,0.054238250745420984,0.05420015648339142,0.055113636363636365,0.05425804614070066,0.054774083546462064,0.055008561643835614,0.05563460443938532,0.05597601028130801,0.056370106761565834,0.05655802011268811,0.05708591358815574,0.05669515669515669,0.05725708574284286,0.05759087669280114,0.05779809959276988,0.05847578347578348,0.05844944623079671,0.05912559731830825,0.05894962486602358,0.05959084753011619,0.05936628281238824,S010,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837134_N8KEBMXD
S007-A02,0.011144332699103017,0.011425801537289662,0.011631146399219947,0.012028925045195383,0.012213847012841988,0.01268204306320117,0.013066871637202153,0.013412504366049599,0.014069718605627888,0.014255765199161425,0.014650217299873826,0.014760405736271423,0.015246887676598125,0.01568297976615557,0.015887458006718924,0.016581184571067237,0.01674021152903271,0.01736013494517852,0.01726315789473684,0.017821921668075513,0.018329938900203666,0.019287624947205408,0.01910917521427568,0.019240256536753823,0.019872199985956043,0.02064688887322951,0.0202602884277172,0.020808435852372582,0.021515237020316026,0.021239187003305435,0.02200902934537246,0.022289410772043314,0.0226518947145579,0.023021684032666856,0.023252526680330766,0.023527754296985066,0.02401469134058483,S007,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,NTC_24
S008-A02,0.1381181738009633,0.1568776313065084,0.16214904679376083,0.16698988779609364,0.16842690383546416,0.17077232669488585,0.17183687696061345,0.17306088407005837,0.17306350314026517,0.17364103989990268,0.17402234636871508,0.1754496026767043,0.17476811493130623,0.17570302142209196,0.17462863519073854,0.17722758427752133,0.17662664060318348,0.17568512304250558,0.17766284596030193,0.17577030812324929,0.1774441340782123,0.17684594348222424,0.17695588338110885,0.17707676130389063,0.17747129655558666,0.17665615141955837,0.17782748497134068,0.1768659851561406,0.178298379743284,0.17850395353719123,0.17724626499263518,0.1781818181818182,0.17749859629421674,0.17856642867142658,0.1779072215594077,0.17903960743077463,0.1778370411958734,S008,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837118_N8KEBMV5
S009-A02,0.12144806015838158,0.1386668473106625,0.14404583276497068,0.1477567162143734,0.15029731392249335,0.1522984586004638,0.15313956676720591,0.15505940188447356,0.15523515276347408,0.15633552271483306,0.15640884736914412,0.15769652150095864,0.1569635877391483,0.15806783144912642,0.1576672384219554,0.15946615299944963,0.1586680398214899,0.15784401459351552,0.15903316624321912,0.1587115464201959,0.1593773675872994,0.15934028017390103,0.15996696035242292,0.15928837401737692,0.15987072818538128,0.15963024282560706,0.16056784508304045,0.15991735537190083,0.16142847274987912,0.16141705148528498,0.16125241913187724,0.16177483808736393,0.16113875069098949,0.16152362584378013,0.1609536973047685,0.16200924584282067,0.16150013838915028,S009,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837126_N8KEBMW9
S024-A02,0.16448335783986098,0.1860306178239475,0.19031593406593406,0.19455119407082075,0.19563270648205552,0.19722088463919654,0.1977794634852769,0.19898099697053154,0.19922603828346347,0.20037233675791216,0.20020746887966806,0.2016017674675504,0.19993098688750863,0.20179620034542314,0.20081627006087438,0.20194040194040194,0.20241064006650042,0.20115181792950318,0.20220206356900491,0.20150135539028288,0.20212249427758897,0.20179341025997496,0.20264928219710104,0.20144585013207286,0.20260984243770389,0.2019331061817676,0.20231815657967794,0.2016946798166412,0.20394370122630992,0.20308483290488433,0.20252282389016657,0.20241649885424623,0.20249459967946484,0.2027233569542865,0.20264900662251656,0.20334378265412748,0.2022903428531527,S024,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837196_N8KEBN5Z
S023-A02,0.13122705820660724,0.14959523650230816,0.15463293183500437,0.15878991596638656,0.16063958979894752,0.1635237068965517,0.16336867697710541,0.16521739130434782,0.1652232746955345,0.16684665226781858,0.1662490688697772,0.16746637831992972,0.16652035924100209,0.16831281288053038,0.1678170253078901,0.16879153668791536,0.16928494041170097,0.16822683489350157,0.16925160853369456,0.16888315918035013,0.1692870696665763,0.16886382169067682,0.16934445122364586,0.16887529731566428,0.16980876169808762,0.16877379010331703,0.1703658453811172,0.16948576862984852,0.17086110733233573,0.17111609265674887,0.17034163604192187,0.1706936337722275,0.16961732262018248,0.1711295364958543,0.17095124445959767,0.1712868596276668,0.17114231188658668,S023,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837188_N8KEBN4V
S022-A02,0.15854060829979547,0.17866756393001346,0.18325103159034026,0.18693861011683663,0.18784380305602716,0.1901823852464574,0.1909103279357736,0.19238082303408938,0.19220302081915908,0.19337091625348093,0.19273247886555767,0.19429699196951136,0.19325215971702606,0.19508542645156898,0.1934363723020358,0.19507704895677075,0.19609045089224902,0.19409916678049446,0.19501226492232215,0.1950485569689509,0.19584043641322876,0.19424509602897957,0.19570259208731242,0.19498664475035957,0.19615884081744242,0.19539757550852682,0.19565662774021716,0.19474223284397404,0.19646526921496096,0.19725240926799262,0.1960958904109589,0.19642003142720502,0.19530928542038128,0.19631985771940624,0.1958147512864494,0.19672804435621877,0.19624116880444475,S022,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837180_N8KEBN3R
S019-A02,0.15330095813098832,0.1732451746476992,0.17860976918947932,0.1825678846798525,0.18408830854142827,0.18601680672268908,0.18739881273610362,0.1887528588725952,0.1887110931064749,0.18987000740890417,0.18967383949113548,0.19083608880491262,0.1896993393555346,0.19118936787424948,0.19053086586518977,0.19188841492314984,0.1915827872728501,0.1913019916000542,0.19246890210924825,0.19123128007047502,0.1921672077922078,0.19155139679956604,0.19307265593289136,0.1918356275852716,0.1925419599350298,0.19244335911002577,0.19309410968178742,0.19220357336220897,0.193469554001765,0.19334282421530744,0.1928406466512702,0.1938409475465313,0.19250356488083112,0.19369705184683159,0.19252463472646958,0.19367535287730728,0.19262128006522625,S019,A02,GEN_N501T_vs_N501Y_Spike_Ref_1,3002837158_N8KEBN0P
