Chamber ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,sampleID,assayID
S019-A15,0.0357269818698898,0.03910748560460653,0.04053484310064446,0.04321209938782859,0.04407514450867052,0.04666347190607404,0.04767917267917268,0.04855415194875172,0.05139147682875518,0.052663183810724795,0.05376863194737795,0.053695324283559574,0.05671514635185298,S019,A15
S020-A15,0.03727821255750045,0.04039915331115815,0.04258425599221317,0.0437814565520587,0.04487686226816662,0.046438505260611926,0.048373391599902886,0.04907530520971836,0.05125713591643386,0.05306789301706402,0.05367490088441598,0.05529168189014736,0.056615346868674477,S020,A15
S021-A15,0.03734661212875689,0.040917022684878755,0.041689323907920975,0.04406534450539514,0.04574847404363329,0.046521425132402504,0.04758745476477684,0.04952220686339323,0.05067261868854437,0.05166295783965839,0.054091707553455694,0.054899824465831366,0.05616196109518873,S021,A15
S036-A15,0.03718188185851039,0.040018915883430865,0.042058298631766806,0.04335191554975685,0.0447405997144217,0.04636428233064898,0.04755120213713268,0.0491715976331361,0.05202140309155767,0.05294047901351672,0.053683268714583954,0.05449558788456952,0.05577904533173221,S036,A15
S035-A15,0.03578348268345846,0.03871878259802418,0.040602246081698136,0.04201008734161644,0.043009427567933946,0.04506385068762279,0.04648156128793942,0.0484127956857458,0.04984021632251721,0.05132765070215245,0.052722345405272236,0.053992489072215724,0.054361959011825896,S035,A15
S034-A15,0.0357601320374106,0.04039402763149743,0.04186394218788936,0.042973359001428305,0.04470178060017432,0.04624349119761964,0.047693073000870535,0.04870812214117938,0.049854281639486575,0.051473768769696594,0.05281449761062496,0.05414782231584164,0.05494574030185855,S034,A15
S031-A15,0.03751855149896111,0.03966483814575924,0.04203258433771425,0.04294848594522862,0.044401427620833586,0.04650322269742787,0.0477226048085055,0.050009016048566446,0.051693942870946315,0.05254604550379198,0.05403768098382505,0.0546477850399419,0.05537618032287542,S031,A15
S032-A15,0.03609139175565233,0.039632117141647,0.04088337287826246,0.0430114049987867,0.04374277544564093,0.04632152588555858,0.04785618850965626,0.048939641109298535,0.04964797280893421,0.053172826810235316,0.053249756572541385,0.05421174182569588,0.05560313188157573,S032,A15
S033-A15,0.036587553057930294,0.039311890483978436,0.04096664231799367,0.044693753790175865,0.044122128100432687,0.04600352005826303,0.049148418491484186,0.04864013568356654,0.05131786712012632,0.05166989351403679,0.052804477430344325,0.05482362940926477,0.05587138578152699,S033,A15
S048-A15,0.03710691823899371,0.04110064165558703,0.0435515757646238,0.044201135442011354,0.04621555633065923,0.04736568156844601,0.048138900180012774,0.051700208188757805,0.05348121479588874,0.05335339390081593,0.055904961565338925,0.055946496074440244,0.057060755336617405,S048,A15
S047-A15,0.04093034553956398,0.043916840939845,0.04782232120762188,0.04787397698603163,0.04972205064854849,0.05020252853811219,0.05212569316081331,0.05438714820038016,0.0557982159335589,0.05685926107468905,0.05881629137443091,0.05969049373618276,0.062013107456411524,S047,A15
S046-A15,0.0398129345886407,0.04289544235924933,0.045551245150794645,0.04736645032451323,0.04725542968016524,0.048718267794922845,0.051363664731947825,0.05222029273133218,0.05481158517595765,0.055583126550868486,0.05766237001058597,0.05804486980299546,0.059125,S046,A15
S043-A15,0.03620422283192175,0.04036929761042723,0.041702075998543156,0.043959366307896965,0.04425851824906026,0.04514182257091129,0.048256236376846694,0.04905091895149141,0.050553304710648846,0.05185319328745624,0.05395901539953923,0.05441229875317758,0.05585025303335162,S043,A15
S044-A15,0.03764130054772171,0.040649449967645156,0.041831844269569846,0.044998820476527486,0.04608922021062596,0.04612578690357122,0.050779404818138876,0.05014368658729693,0.052051402970997404,0.05397944199706314,0.05467642890883326,0.0558929308413419,0.057331273764258554,S044,A15
S045-A15,0.036953152938371675,0.0404777704047777,0.041997936517569945,0.04349404149779203,0.04500515557712137,0.04558628185001811,0.047786111783208324,0.048945147679324896,0.050438463864529784,0.05324338974884057,0.05304590044810464,0.055521991300145,0.05595810753211959,S045,A15
S060-A15,0.03802882925114262,0.04132622853759621,0.0437842996898115,0.04451302747937563,0.04584697826734147,0.048047870134486644,0.04961378490790255,0.04984331579258559,0.052256532066508314,0.05431631264422224,0.05515187611673615,0.056675587273267915,0.057507031296750645,S060,A15
S059-A15,0.03756687601767853,0.04187988941826951,0.043367648798958706,0.04430044182621502,0.04628918934876306,0.04708994708994709,0.04967589864466706,0.05116169913165924,0.052699758582111525,0.053522119734445685,0.05603117435201039,0.05593540021218908,0.057645450763653655,S059,A15
S058-A15,0.03697674418604651,0.041272823342922565,0.04307746853394788,0.04388493440790635,0.04578213610586011,0.046627859116834244,0.04827301662147825,0.05046948356807512,0.05214416327493659,0.053410893707033315,0.05503775365738556,0.05529356283895308,0.05749584224281302,S058,A15
S055-A15,0.03857856363740743,0.041468507133743185,0.042631364087012305,0.04455560725919032,0.046534711274595665,0.04755545232841714,0.04892538878210729,0.05188105037389137,0.0528246942341293,0.05352896827698196,0.05617190237066449,0.05637411915438821,0.05802548892934751,S055,A15
S056-A15,0.03835789232268792,0.040960779763286145,0.04331098805013116,0.044868069278158784,0.046137714085983925,0.046906708413057344,0.04966560046525153,0.05067763234101703,0.0525243114190881,0.054888308674209456,0.055247651828948134,0.0567016317016317,0.056409955388588874,S056,A15
S057-A15,0.03864262746899403,0.04207834476345461,0.04385195579722856,0.045068126237335505,0.04653742847133014,0.04778236354124281,0.048582759827364985,0.05093506795214311,0.0532082289177691,0.05349985477781005,0.05538335575179835,0.05660597572362278,0.05835294117647059,S057,A15
S072-A15,0.03980070679566653,0.04277164984745365,0.044578100123828054,0.046122209165687426,0.04711362698272304,0.048158141717503516,0.04979985872380504,0.05109275209468565,0.053300388280974234,0.054233114446529083,0.05606980720476387,0.05746110325318246,0.05929135260252834,S072,A15
S071-A15,0.04158903780275257,0.04554033485540335,0.047190598604480355,0.049859807387541144,0.051211453744493395,0.05205862677127045,0.05403427456241996,0.05550832017490587,0.05713241564136923,0.058505795958002066,0.06041908485551958,0.061420578934565796,0.06316305880910039,S071,A15
S070-A15,0.040635411708710135,0.044279775890113865,0.04686081007446873,0.048612786489746686,0.0498911465892598,0.05209962700036097,0.05263475583992274,0.05460771356482038,0.05588341563290377,0.057259468219194525,0.059902274235386375,0.060024081878386516,0.06189695976697615,S070,A15
